区县,工业总产值,地区生产总值指数,人均地区生产总值指数,人口数（万人）,固定资产投资,人均固定资产投资,第一产业增长率,第二产业增长率,第三产业增长率,人均工业产值,人均财收（元）,人均消费（元）,进出口总额（亿元）,人均进出口(元),财政收入（万元）,消费总额（万元）
万州区,4134437.7,108.5,107.5,174.14,6350481,36467.67543,0.045,0.096,0.083,23742.03342,26406,20180,7.34,421.5573676,690045,3588807
黔江区,1362012.7,105.8,104.1,55.45,2626914,47374.46348,0.045,0.071,0.047,24562.89811,19824,14080,3.66,660.3065825,229872,1031748
涪陵区,14152327,109.7,108.7,115.83,8000793,69073.58197,0.041,0.114,0.072,122181.8786,26715,21423,46.94,4052.577053,626305,2953456
渝中区,129492.8,105.1,104.4,50.77,2129678,41947.56746,,0.01,0.052,2550.577112,37175,26073,141.59,27888.182,497391,7536431
大渡口区,1831589.9,107.4,103.9,26.31,2084555,79230.52071,-0.125,0.09,0.066,69615.73166,34591,25097,18.04,6857.658685,193427,490709
江北区,8235551.8,110.5,109,61.41,4123393,67145.30207,-0.129,0.099,0.108,134107.6665,35884,24264,365.34,59491.97199,769863,5244441
沙坪坝区,18641239,107.1,106.1,83.17,6378060,76687.02657,-0.078,0.105,0.049,224134.171,34720,25740,1949.4,234387.4594,671163,3828937
九龙坡区,12326708.5,107.5,106.3,93.05,7151467,76856.1741,-0.066,0.106,0.053,132474.0301,34940,24549,115.56,12418.97904,603112,6180537
南岸区,8573137.2,107,105,71.32,4130198,57910.79641,-0.103,0.062,0.081,120206.6349,34947,22781,89.49,12547.68648,704091,4468007
北碚区,7297122.9,109.7,108.3,63.02,6263110,99382.89432,-0.01,0.112,0.077,115790.5887,32095,23221,96.55,15321.27896,291106,1812347
渝北区,33842798.9,107,104.3,130.47,12104922,92779.35158,-0.013,0.028,0.133,259391.4225,32482,22275,1213.92,93042.33157,619852,6919112
巴南区,6151345.6,110.1,106.9,91.88,12104922,131747.0832,0.001,0.1,0.118,66949.77797,31865,24815,117.68,12807.98868,377275,3434821
长寿区,10485579.8,109,108.1,89.49,6007745,67133.14337,0.039,0.114,0.066,117170.4079,25821,17923,107.7,12035.24416,368059,1307554
江津区,13842166.4,109.9,108.2,149.66,8344489,55756.30763,0.04,0.111,0.096,92490.75504,27585,19943,58.75,3925.66484,700177,2952660
合川区,7778295.5,109,107.8,153.27,6449486,42079.24578,0.043,0.105,0.085,50748.97566,26491,21548,15.72,1025.745417,415264,2850124
永川区,9061111,109.4,108.2,113.97,8619620,75630.60455,0.039,0.111,0.08,79504.35202,28032,15876,30.74,2697.315083,482404,3513871
南川区,2274269.9,109.5,107.8,68.63,1859569,27095.57045,0.045,0.103,0.11,33138.13056,23749,13346,20.57,2996.692409,233071,1322307
綦江区,6588488.9,109.5,108.5,120.06,5962094,49659.28702,0.041,0.107,0.097,54876.63585,22568,16312,5.15,429.3436615,378466,1716118
大足区,5554719.1,109.6,108,106.79,6862808,64264.51915,0.04,0.11,0.09,52015.34882,24489,16958,9.59,898.2208072,376927,1316380
璧山区,9530288.6,110.1,108.9,64.5,7020361,108842.8062,0.037,0.111,0.082,147756.4124,27102,16789,18.48,2864.403101,558972,1378749
铜梁区,4755766.9,109.8,106.9,84.97,5991475,70512.82806,0.043,0.108,0.1,55969.95292,25739,16020,6.77,797.234318,296236,1233431
潼南区,4656491.2,109.1,106.6,95.06,4284422,45070.71323,0.04,0.111,0.085,48984.7591,22541,15367,8.43,886.5348201,214155,970001
荣昌区,6844204.6,109.2,108.5,84.96,5612499,66060.48729,0.036,0.104,0.089,80557.96375,24443,15829,22.81,2684.416196,259166,1254487
开州区,1757227.2,107.9,107.4,168.43,4272822,25368.53292,0.043,0.095,0.072,10432.98225,19572,14773,1.52,90.09083892,246819,1899650
梁平区,1734040.7,108.9,109.7,92.92,2476260,26649.37581,0.048,0.099,0.09,18661.65196,21395,15804,2.14,230.3809729,214568,1031630
武隆区,360609.4,107.7,107.6,41.27,1443202,34969.76012,0.05,0.099,0.065,8737.809547,20279,14858,0.47,113.5207172,149691,587720
城口县,101783,105,105.6,25.11,711192,28323.05854,0.041,0.096,0,4053.484667,14093,9626,,,38518,151750
丰都县,1025978.6,109.3,110.9,82.37,2522222,30620.63858,0.046,0.104,0.103,12455.73146,19186,13057,3.38,410.8291854,190400,826667
垫江县,1799911.3,108.5,107.4,97.14,3478336,35807.45316,0.05,0.093,0.089,18529.04365,21697,12334,3.2,329.359687,194753,1050174
忠　县,1294246.7,112,110.7,99.73,2465593,24722.68124,0.044,0.176,0.083,12977.50627,21121,14291,1.14,114.4891206,166606,850596
云阳县,1873518.2,108.9,107.1,134.15,2928330,21828.77376,0.044,0.109,0.09,13965.8457,17000,11017,0.52,38.54640328,168514,1188118
奉节县,456707.9,110.8,112.8,105.93,3001052,28330.52015,0.049,0.133,0.114,4311.412253,16551,12975,0.15,13.82044747,171985,623748
巫山县,106160.1,110,111.7,63.69,1517867,23832.10865,0.048,0.105,0.118,1666.825247,16411,11915,0.3,46.74203172,113483,425888
巫溪县,91510.1,102.4,103.2,54.26,1335028,24604.27571,0.051,0.015,0.02,1686.511242,13474,10340,,,78096,308149
石柱县,1149609.4,109,110,54.78,1423618,25987.9153,0.049,0.103,0.089,20985.93282,19251,10579,3.44,627.4005111,133690,626837
秀山县,1009673.6,107.2,108.4,66.58,1669344,25072.75458,0.05,0.073,0.079,15164.81826,17827,11855,0.41,60.91919495,125972,757720
酉阳县,469765,106,106.7,85.26,1400417,16425.25217,0.047,0.065,0.061,5509.793573,13912,11121,21.56,2528.864649,120636,593943
彭水县,452257.6,106,107.7,70.02,1787442,25527.59212,0.046,0.054,0.073,6458.977435,15794,11816,,,140381,675262
